title_full,title,title_slug,url,category,bias_rating,factual_reporting,country,press_freedom_rating,media_type,traffic/popularity,mbfc_credibility_rating,mbfc’s_country_freedom_rating,mbfc’s_freedom_rating,press_freedom_rank,world_press_freedom_rank,mbfc’s_country_freedom_rank,mbfc’s_country_freedom_profile,press_freedom_rating_,mbfc_country_freedom_rating,reasoning,_world_press_freedom_rank,questionable_reasoning
9News – KUSA (9news.com),9News – KUSA,9news-kusa,https://mediabiasfactcheck.com/9news-kusa/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,TV Station,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
11 News – KKCO (nbc11news.com),11 News – KKCO,11-news-kkco,https://mediabiasfactcheck.com/11-news-kkco/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,TV Station,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
12 News KPNX (12news.com),12 News KPNX,12-news-kpnx,https://mediabiasfactcheck.com/12-news-kpnx/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,TV Station,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
13 News – WIBW (wibw.com),13 News – WIBW,13-news-wibw,https://mediabiasfactcheck.com/13-news-wibw/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,TV Station,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
23WIFR News (wifr.com),23WIFR News,23wifr-news,https://mediabiasfactcheck.com/23wifr-news/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,TV Station,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
24/7 Wall St. (247wallst.com),24/7 Wall St.,24-7-wall-st,https://mediabiasfactcheck.com/24-7-wall-st/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
24ur.com,24ur.com,24ur-com,https://mediabiasfactcheck.com/24ur-com/,center,LEAST BIASED,MOSTLY FACTUAL,Slovenia,,Website,High Traffic,HIGH CREDIBILITY,MOSTLY FREE,,,,,,,,,,
38 North (www.38north.org),38 North,38-north,https://mediabiasfactcheck.com/38-north/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
1010 WINS AM (1010wins.radio.com),1010 WINS AM,1010-wins-am,https://mediabiasfactcheck.com/1010-wins-am/,center,LEAST BIASED,HIGH,United States,,Radio Station,High Traffic,HIGH CREDIBILITY,,MOSTLY FREE,,,,,,,,,
1440 Newsletter (join1440.com),1440 Newsletter,1440-newsletter,https://mediabiasfactcheck.com/1440-newsletter/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
ABC7Chicago.com,ABC7Chicago.com,abc7chicago-com,https://mediabiasfactcheck.com/abc7chicago-com/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,TV Station,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
ABC7 New York (abc7ny.com),ABC7 New York,abc7-new-york,https://mediabiasfactcheck.com/abc7-new-york/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,TV Station,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
ABC12/WJRT-TV (abc12.com),ABC12/WJRT-TV,abc12-news-wjrt,https://mediabiasfactcheck.com/abc12-news-wjrt/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,TV Station,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
ABS-CBN (news.abs-cbn.com),ABS-CBN,abs-cbn-news,https://mediabiasfactcheck.com/abs-cbn-news/,center,LEAST BIASED,HIGH,Philippines,,TV Station,High Traffic,HIGH CREDIBILITY,MODERATE FREEDOM,,,,,,,,,,
ActionNewsJax.com,ActionNewsJax.com,actionnewsjax-com,https://mediabiasfactcheck.com/actionnewsjax-com/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,TV Station,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Ad Fontes Media (adfontesmedia.com/),Ad Fontes Media,all-generalizations-are-false-ad-fontes-media,https://mediabiasfactcheck.com/all-generalizations-are-false-ad-fontes-media/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Adrian Daily Telegram (lenconnect.com),Adrian Daily Telegram,adrian-daily-telegram-bias,https://mediabiasfactcheck.com/adrian-daily-telegram-bias/,center,LEFT-CENTER,HIGH,USA,,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,MOSTLY FREE,,,,,,,,
Adweek,Adweek,adweek,https://mediabiasfactcheck.com/adweek/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Magazine,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Africa Check (africacheck.org),Africa Check,africa-check,https://mediabiasfactcheck.com/africa-check/,center,LEAST BIASED,VERY HIGH,South Africa,MOSTLY FREE,Website,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
AgDaily (agdaily.com),AgDaily,agdaily,https://mediabiasfactcheck.com/agdaily/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Agence France-Presse (AFP) (www.afp.com),Agence France-Presse,afp-agence-france-presse,https://mediabiasfactcheck.com/afp-agence-france-presse/,center,LEAST BIASED,HIGH,France,MOSTLY FREE,News Agency,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Agenzia Nazionale Stampa Associata (ANSA) (http://www.ansa.it),Agenzia Nazionale Stampa Associata,agenzia-nazionale-stampa-associata-ansa,https://mediabiasfactcheck.com/agenzia-nazionale-stampa-associata-ansa/,center,LEAST BIASED,HIGH,Italy,MOSTLY FREE,News Agency,High Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Agerpres (www.agerpres.ro),Agerpres,agerpres,https://mediabiasfactcheck.com/agerpres/,center,LEAST BIASED,HIGH,Romania,,News Agency,Medium Traffic,HIGH CREDIBILITY,MOSTLY FREE,,,,,,,,,,
AgWeb (agweb.com),AgWeb,agweb,https://mediabiasfactcheck.com/agweb/,center,RIGHT-CENTER,HIGH,USA,MOSTLY FREE,Journal,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Ahwatukee Foothills News (ahwatukee.com),Ahwatukee Foothills News,ahwatukee-foothills-news-bias,https://mediabiasfactcheck.com/ahwatukee-foothills-news-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Minimal Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Air Force Times,Air Force Times,air-force-times,https://mediabiasfactcheck.com/air-force-times/,center,LEAST BIASED,HIGH,USA,,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,MOSTLY FREE,,,,,,,,
Airwars (airwars.org),Airwars,airwars,https://mediabiasfactcheck.com/airwars/,center,LEAST BIASED,HIGH,United Kingdom,,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,,,MOSTLY FREE,,,,,,,,
Alabama Now (alabamanow.com),Alabama Now,alabama-now-bias,https://mediabiasfactcheck.com/alabama-now-bias/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Alabama Political Reporter (www.alreporter.com),Alabama Political Reporter,alabama-political-reporter,https://mediabiasfactcheck.com/alabama-political-reporter/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Website,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
Albany Democrat-Herald (democratherald.com),Albany Democrat-Herald,albany-democrat-herald,https://mediabiasfactcheck.com/albany-democrat-herald/,center,LEAST BIASED,HIGH,USA,MOSTLY FREE,Newspaper,Medium Traffic,HIGH CREDIBILITY,,,,,,,,,,,
